person,quest,days_to_complete,quest_start_date,quest_completion_date,number_of_shrubberies_utilized,goal_of_quest,reward_gbp,quest_difficulty,quest_companion,enemy_encountered,sacrifices_made,knights_lost,proclamations_made,number_of_times_fleeing,coconuts_utilized,jokes_told,injuries_sustained,morale_level
Lancelot,The Rescue of Camelot,,,,1,Rescue Camelot from the invading forces.,3346,Hard,Tim the Enchanter,Castle Anthrax,Coconuts Lost,4,9,0,0,10,4,10
Sir Robin,The Battle with the Black Knight,62.0,0529-10-18,0556-07-09,8,Defeat the Black Knight and continue the journey.,7274,Impossible,Coconuts,Castle Anthrax,A Few Good Knights,1,1,5,6,18,1,3
Sir Robin,The Search for the Holy Hand Grenade,9.0,0592-02-08,0573-07-12,7,Locate the Holy Hand Grenade to defeat the Rabbit of Caerbannog.,1563,Impossible,A Swallow,Castle Anthrax,None,4,6,0,2,19,4,4
Lancelot,The Search for the Shrubbery,,,,0,Find a suitable shrubbery for the Knights Who Say Ni.,8841,Easy,Coconuts,The Three-Headed Giant,A Few Good Knights,0,6,0,0,6,4,9
Sir Robin,The Rescue of Camelot,54.0,0558-10-26,0576-02-17,2,Rescue Camelot from the invading forces.,371,Easy,Sir Bedevere,French Taunter,None,3,0,0,4,12,5,6
Sir Robin,The Search for the Shrubbery,,,,1,Find a suitable shrubbery for the Knights Who Say Ni.,9971,Easy,A Swallow,The Knights Who Say Ni,A Few Good Knights,3,0,3,5,9,4,9
Lancelot,The Search for the Holy Hand Grenade,64.0,0553-07-23,0586-01-04,4,Locate the Holy Hand Grenade to defeat the Rabbit of Caerbannog.,2229,Easy,A Swallow,The Black Knight,Coconuts Lost,1,3,0,4,20,1,4
Sir Robin,The Quest for the Holy Grail,,,,7,Retrieve the Holy Grail.,1721,Impossible,A Swallow,The Three-Headed Giant,None,5,7,2,5,15,5,3
King Arthur,The Search for the Holy Hand Grenade,,,,6,Locate the Holy Hand Grenade to defeat the Rabbit of Caerbannog.,6974,Easy,Coconuts,The Knights Who Say Ni,A Few Good Knights,3,2,0,1,19,2,2
Lancelot,The Defeat of the Rabbit of Caerbannog,80.0,0503-02-10,0591-08-13,5,Destroy the ferocious Rabbit of Caerbannog.,9179,Impossible,Coconuts,French Taunter,None,3,7,0,5,17,4,9
